filepath,split,label_id,class_en,class_zh
train/images/bugs_and_beetles/00000.jpg,train,0,bugs_and_beetles,蝽或甲虫
valid/images/bugs_and_beetles/00001.jpg,valid,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00002.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00003.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00004.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00005.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00006.jpg,train,0,bugs_and_beetles,蝽或甲虫
valid/images/bugs_and_beetles/00007.jpg,valid,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00008.jpg,train,0,bugs_and_beetles,蝽或甲虫
valid/images/bugs_and_beetles/00009.jpg,valid,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00010.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00011.jpg,train,0,bugs_and_beetles,蝽或甲虫
valid/images/bugs_and_beetles/00012.jpg,valid,0,bugs_and_beetles,蝽或甲虫
valid/images/bugs_and_beetles/00013.jpg,valid,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00014.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00015.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00016.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00017.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00018.jpg,train,0,bugs_and_beetles,蝽或甲虫
valid/images/bugs_and_beetles/00019.jpg,valid,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00020.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00021.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00022.jpg,train,0,bugs_and_beetles,蝽或甲虫
valid/images/bugs_and_beetles/00023.jpg,valid,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00024.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00025.jpg,train,0,bugs_and_beetles,蝽或甲虫
valid/images/bugs_and_beetles/00026.jpg,valid,0,bugs_and_beetles,蝽或甲虫
valid/images/bugs_and_beetles/00027.jpg,valid,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00028.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00029.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00030.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00031.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00032.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00033.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00034.jpg,train,0,bugs_and_beetles,蝽或甲虫
train/images/bugs_and_beetles/00035.jpg,train,0,bugs_and_beetles,蝽或甲虫
